Participant_ID,Sex,Gamer,Complete_Game_Files,Complete_Transcript,Joystick_First,statement,interfaceMarkers,gameMarkers,lineNumber,fileName,interface,gameNumber,lowerStatement,statementClean,phrase,cumulativeGameNumber,bonusRelevant
1,1,99,1,1,1,Wasn’t that a bonus.,FALSE,FALSE,45,p001_PreCode_2019.txt,joystick,1,wasn’t that a bonus.,wasnt that a bonus,TRUE,1,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,74,p001_PreCode_2019.txt,joystick,2,bonus.,bonus,FALSE,2,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,102,p001_PreCode_2019.txt,joystick,3,bonus.,bonus,FALSE,3,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,108,p001_PreCode_2019.txt,joystick,3,bonus.,bonus,FALSE,3,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,133,p001_PreCode_2019.txt,joystick,4,bonus.,bonus,FALSE,4,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,138,p001_PreCode_2019.txt,joystick,4,bonus.,bonus,FALSE,4,1
1,1,99,1,1,1,Not a bonus so I definitely just missed out.,FALSE,FALSE,160,p001_PreCode_2019.txt,joystick,4,not a bonus so i definitely just missed out.,not a bonus so i definitely just missed out,TRUE,4,1
1,1,99,1,1,1,Other way shoot shoot got a bonus.,FALSE,FALSE,175,p001_PreCode_2019.txt,joystick,5,other way shoot shoot got a bonus.,other way shoot shoot got a bonus,TRUE,5,1
1,1,99,1,1,1,bonus,FALSE,FALSE,189,p001_PreCode_2019.txt,joystick,5,bonus,bonus,FALSE,5,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,252,p001_PreCode_2019.txt,joystick,6,bonus.,bonus,FALSE,6,1
1,1,99,1,1,1,Other way bonus.,FALSE,FALSE,263,p001_PreCode_2019.txt,joystick,7,other way bonus.,other way bonus,TRUE,7,1
1,1,99,1,1,1,That doesn’t matter bonus K.,FALSE,FALSE,290,p001_PreCode_2019.txt,joystick,7,that doesn’t matter bonus k.,that doesnt matter bonus k,TRUE,7,1
1,1,99,1,1,1,got you bonus missed missed missed Q.,FALSE,FALSE,295,p001_PreCode_2019.txt,joystick,7,got you bonus missed missed missed q.,got you bonus missed missed missed q,TRUE,7,1
1,1,99,1,1,1,I thought that was a bonus.,FALSE,FALSE,325,p001_PreCode_2019.txt,joystick,8,i thought that was a bonus.,i thought that was a bonus,TRUE,8,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,353,p001_PreCode_2019.txt,joystick,9,bonus.,bonus,FALSE,9,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,413,p001_PreCode_2019.txt,joystick,10,bonus.,bonus,FALSE,10,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,455,p001_PreCode_2019.txt,joystick,10,bonus.,bonus,FALSE,10,1
1,1,99,1,1,1,I could barley pay attention to the bonus and I can barley keep myself in control.,FALSE,FALSE,557,p001_PreCode_2019.txt,keyboard,4,i could barley pay attention to the bonus and i can barley keep myself in control.,i could barley pay attention to the bonus and i can barley keep myself in control,TRUE,14,1
1,1,99,1,1,1,Five bonus opportunities and [14:43].,FALSE,FALSE,573,p001_PreCode_2019.txt,keyboard,4,five bonus opportunities and [14:43].,five bonus opportunities and 1443,TRUE,14,1
1,1,99,1,1,1,"P=  Pay attention to the bonuses, stay in control, and be prepared cuz I’ll be shot at immediately.",FALSE,FALSE,575,p001_PreCode_2019.txt,keyboard,5,"p=  pay attention to the bonuses, stay in control, and be prepared cuz i’ll be shot at immediately.",p  pay attention to the bonuses stay in control and be prepared cuz ill be shot at immediately,TRUE,15,1
1,1,99,1,1,1,I saw the bonus and pushed the wrong button.,FALSE,FALSE,587,p001_PreCode_2019.txt,keyboard,5,i saw the bonus and pushed the wrong button.,i saw the bonus and pushed the wrong button,TRUE,15,1
1,1,99,1,1,1,bonus is left.,FALSE,FALSE,600,p001_PreCode_2019.txt,keyboard,6,bonus is left.,bonus is left,TRUE,16,1
1,1,99,1,1,1,Five bonus opportunities.,FALSE,FALSE,640,p001_PreCode_2019.txt,keyboard,6,five bonus opportunities.,five bonus opportunities,TRUE,16,1
1,1,99,1,1,1,I missed every bonus opportunity.,FALSE,FALSE,720,p001_PreCode_2019.txt,keyboard,8,i missed every bonus opportunity.,i missed every bonus opportunity,TRUE,18,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,747,p001_PreCode_2019.txt,keyboard,9,bonus.,bonus,FALSE,19,1
1,1,99,1,1,1,bonus.,FALSE,FALSE,776,p001_PreCode_2019.txt,keyboard,10,bonus.,bonus,FALSE,20,1
1,1,99,1,1,1,Bonus.,FALSE,FALSE,781,p001_PreCode_2019.txt,keyboard,10,bonus.,bonus,FALSE,20,1
2,2,0,1,1,1,"P: There’s definitely a lot going on in this game, to deal with the mines and the fortress and the bonuses.",FALSE,FALSE,13,p002_PreCode_2019.txt,joystick,2,"p: there’s definitely a lot going on in this game, to deal with the mines and the fortress and the bonuses.",p theres definitely a lot going on in this game to deal with the mines and the fortress and the bonuses,TRUE,2,1
3,1,1,1,1,1,I see one… a bonus one.,FALSE,FALSE,39,p003_PreCode_2019.txt,joystick,2,i see one… a bonus one.,i see one a bonus one,TRUE,2,1
3,1,1,1,1,1,"Negative 39. There were five bonus options, but I did not see them.",FALSE,FALSE,60,p003_PreCode_2019.txt,joystick,3,"negative 39. there were five bonus options, but i did not see them.",negative 39 there were five bonus options but i did not see them,TRUE,3,1
3,1,1,1,1,1,Got a bonus.,FALSE,FALSE,64,p003_PreCode_2019.txt,joystick,4,got a bonus.,got a bonus,TRUE,4,1
3,1,1,1,1,1,Got the bonus points because I reacted to the two.,FALSE,FALSE,68,p003_PreCode_2019.txt,joystick,4,got the bonus points because i reacted to the two.,got the bonus points because i reacted to the two,TRUE,4,1
3,1,1,1,1,1,"Vulnerability seven, and I see a dollar sign but I’m not sure if I can collect the bonus.",FALSE,FALSE,100,p003_PreCode_2019.txt,joystick,6,"vulnerability seven, and i see a dollar sign but i’m not sure if i can collect the bonus.",vulnerability seven and i see a dollar sign but im not sure if i can collect the bonus,TRUE,6,1
3,1,1,1,1,1,I can collect the bonus.,FALSE,FALSE,101,p003_PreCode_2019.txt,joystick,6,i can collect the bonus.,i can collect the bonus,TRUE,6,1
3,1,1,1,1,1,There’s no bonus available if it’s an @ sign.,FALSE,FALSE,106,p003_PreCode_2019.txt,joystick,6,there’s no bonus available if it’s an @ sign.,theres no bonus available if its an  sign,TRUE,6,1
3,1,1,1,1,1,"There were 5 bonus chances, but I only got one, so I guess I should be looking at that more.",FALSE,FALSE,117,p003_PreCode_2019.txt,joystick,6,"there were 5 bonus chances, but i only got one, so i guess i should be looking at that more.",there were 5 bonus chances but i only got one so i guess i should be looking at that more,TRUE,6,1
3,1,1,1,1,1,I’ll just fly around until there’s another bonus.,FALSE,FALSE,144,p003_PreCode_2019.txt,joystick,7,i’ll just fly around until there’s another bonus.,ill just fly around until theres another bonus,TRUE,7,1
3,1,1,1,1,1,Got a bonus.,FALSE,FALSE,161,p003_PreCode_2019.txt,joystick,8,got a bonus.,got a bonus,TRUE,8,1
3,1,1,1,1,1,Collected the bonus even though I didn’t know what it was.,FALSE,FALSE,183,p003_PreCode_2019.txt,joystick,9,collected the bonus even though i didn’t know what it was.,collected the bonus even though i didnt know what it was,TRUE,9,1
3,1,1,1,1,1,There’s a bonus and I collected points because I have 90 shots.,FALSE,FALSE,202,p003_PreCode_2019.txt,joystick,10,there’s a bonus and i collected points because i have 90 shots.,theres a bonus and i collected points because i have 90 shots,TRUE,10,1
